instance,set,original,md5,bytes
ackley_5.bch,easy,ackley_5.bch,8d319f8260bdd9b50b2f2fe4cdbb52fa,310
chance.bch,easy,chance.bch,ae6e426d3ded5e67dc1867494611842f,343
ex14_1_1.bch,easy,ex14_1_1.bch,e88ffec37e05372f4d46ddc38e9be93a,292
ex14_1_2.bch,easy,ex14_1_2.bch,66389b9517f243d16dffe5aa15e2e749,1129
ex14_1_3.bch,easy,ex14_1_3.bch,eac04bf738d5478a50e74204336bc1ad,240
ex14_1_4.bch,easy,ex14_1_4.bch,96b34ddf1e29e8662cdd674aa8f01767,406
ex14_1_5.bch,easy,ex14_1_5.bch,3154c955e16126d140762cf7e42cd531,343
ex14_1_8.bch,easy,ex14_1_8.bch,1b3199ae6d22b2c885fc3f576a346638,431
ex14_1_9.bch,easy,ex14_1_9.bch,bcd0f896e32002e5330bac59ef52ba03,346
ex14_2_1.bch,easy,ex14_2_1.bch,a5c7ba3f8d61d7f9b628cea181a5760e,1347
ex14_2_2.bch,easy,ex14_2_2.bch,5250e7d2384c0398b802c8967d79d426,879
ex14_2_4.bch,easy,ex14_2_4.bch,b46f32961c6bff527b4bcb5d225818ed,4089
ex14_2_5.bch,easy,ex14_2_5.bch,f480a8286c93e6ff7539334fe3891e6d,1254
ex14_2_6.bch,easy,ex14_2_6.bch,1a56d5a1402323524df7b6a3b9b8d43d,3213
ex14_2_8.bch,easy,ex14_2_8.bch,defb1e5b18bec348af4844fd5111b358,1838
ex14_2_9.bch,easy,ex14_2_9.bch,4b30dda659e52e7db5c07bd3e45df007,2306
ex2_1_1.bch,easy,ex2_1_1.bch,85c4409823bec6f8040bdb587dc95433,255
ex2_1_10.bch,easy,ex2_1_10.bch,1a66358426a1c87c88c754dcdf1de20e,2261
ex2_1_2.bch,easy,ex2_1_2.bch,4a4005aa5229372bb94bd64172b0b8b7,283
ex2_1_3.bch,easy,ex2_1_3.bch,f053de0b138fcbc79d3cdbab87c224af,574
ex2_1_4.bch,easy,ex2_1_4.bch,b35dfbf0d31ffa20d72968ece25b5a75,432
ex2_1_5.bch,easy,ex2_1_5.bch,514c3cc76b3e7b959a165b15c9f3f296,1087
ex2_1_5bis.bch,easy,ex2_1_5bis.bch,9b87a1e2bd4e214095675b896334561e,1080
ex2_1_6.bch,easy,ex2_1_6.bch,39692ed0a175c6f2fbd892ac921b1d2c,722
ex3_1_1.bch,easy,ex3_1_1.bch,7f30af2decd37c5f71eb3f8c172270e4,440
ex3_1_2.bch,easy,ex3_1_2.bch,0ba9e2d57ff7d238e5f1c7bacbb3fc65,592
ex3_1_3.bch,easy,ex3_1_3.bch,655a23a0a7ff547e3cfc0839c43dd320,326
ex3_1_3bis.bch,easy,ex3_1_3bis.bch,91c7367090e00d9351cfbc1f8e64bcc6,342
ex3_1_4.bch,easy,ex3_1_4.bch,d52d8bb9fe1c29dba89fdaca26a77fab,244
ex4_1_5.bch,easy,ex4_1_5.bch,e4b19e5a485faebae15797d22eb25dc5,157
ex4_1_8.bch,easy,ex4_1_8.bch,3ac0b20bf3976ad9d7ba3b1a434313aa,126
ex4_1_9.bch,easy,ex4_1_9.bch,58ba5304cf9c3b3b268b91fbab4db9b9,164
ex5_2_2_case1.bch,easy,ex5_2_2_case1.bch,6e8afe401c55389e42aa804c5f832caf,411
ex5_2_2_case2.bch,easy,ex5_2_2_case2.bch,ef74329f779e5785f7dee606af3bdfd4,397
ex5_2_4.bch,easy,ex5_2_4.bch,e0882ffe25fb6aac288d7a273955b260,413
ex5_4_2.bch,easy,ex5_4_2.bch,a70974fd960e4c645b577d5471624325,404
ex5_4_2bis.bch,easy,ex5_4_2bis.bch,af28ce58a7f0dfff295257c8d6e02916,403
ex5_4_3.bch,easy,ex5_4_3.bch,06be4a25cdc5434a21ccc1507c9d35e0,897
ex6_1_2.bch,easy,ex6_1_2.bch,7e05dac9bd7dbe41e09c849b2ad2a34b,323
ex7_2_1.bch,easy,ex7_2_1.bch,db21e82fbc99c66f6f12a0116cca444d,908
ex7_2_10.bch,easy,ex7_2_10.bch,7d5217ba39047c5b314c4bf95a37f5a6,497
ex7_2_1bis.bch,easy,ex7_2_1bis.bch,bbd7c6e0ace73f6c754d595439986c29,928
ex7_2_2.bch,easy,ex7_2_2.bch,5a66d323227631f05b7f4195d9f6288b,344
ex7_2_3.bch,easy,ex7_2_3.bch,bef3e74e60f8586761be46b8ab8670ea,458
ex7_2_3bis.bch,easy,ex7_2_3bis.bch,4cbc1f2b22b2daeaadad8c6ee8e925c7,434
ex7_2_5.bch,easy,ex7_2_5.bch,71c2494cbe9e7c7fac24923865f50e38,518
ex7_2_6.bch,easy,ex7_2_6.bch,0c2194f92a6552a317275bba39e578da,151
ex7_2_7.bch,easy,ex7_2_7.bch,cd186993c44f302d4143b24f710384eb,256
ex7_3_1.bch,easy,ex7_3_1.bch,520e0de2deb7470bfe95438a2b8dabaa,439
ex7_3_2.bch,easy,ex7_3_2.bch,c293b0bfb15052ae7efc81d1856b5c93,295
ex7_3_3.bch,easy,ex7_3_3.bch,3db43b1f0877f517408cba9527b80844,408
ex7_3_6.bch,easy,ex7_3_6.bch,01de5857ee03ce04c1dbc51a2932bf6e,3566
ex8_1_1.bch,easy,ex8_1_1.bch,c3ef29d7bba1c2eb818fd7a24370967e,125
ex8_1_2.bch,easy,ex8_1_2.bch,015ae14324f7e2e5b5ef1eeabdc7747a,490
ex8_1_4.bch,easy,ex8_1_4.bch,1d288cd6bcd75bef3ddbb376602c84a3,151
ex8_1_5.bch,easy,ex8_1_5.bch,c74ee553531eabae9b7e4dfef436d1c5,177
ex8_1_6.bch,easy,ex8_1_6.bch,ea7370143cf2e0e67b7e2b2ccac832b7,216
ex8_1_6bis.bch,easy,ex8_1_6bis.bch,04579d004710df594a39384376ec1867,223
ex8_1_7.bch,easy,ex8_1_7.bch,341f4799fbe487563b67208b1fa351c7,316
ex8_1_8.bch,easy,ex8_1_8.bch,84f58632829b9d42f069abfb552fe14a,328
ex8_1_8bis.bch,easy,ex8_1_8bis.bch,51824709436cdfbead33c91a11d05bd2,339
ex8_2_1.bch,easy,ex8_2_1.bch,bd0b161dd3b2e1df7d02a21b52fb92a7,5342
ex8_4inf-1.bch,easy,ex8_4inf-1.bch,c295860bb290213db0e9e5dda8d81555,123
ex8_5_3-1.bch,easy,ex8_5_3-1.bch,0c5ded3cb6d099db867aca0290281514,481
ex8_5_3.bch,easy,ex8_5_3.bch,315457fb3418c53fd192c31ee1754a68,482
ex8_5_4.bch,easy,ex8_5_4.bch,4b7bd5aac44dfd66be690b82817328b3,444
ex8_5_5-1.bch,easy,ex8_5_5-1.bch,c420e0c296bcd301ac67b10340668364,548
ex8_5_5.bch,easy,ex8_5_5.bch,96d154cad191a340e26b5d975688510d,605
ex8_5_6-1.bch,easy,ex8_5_6-1.bch,2df43660f0badf122148e4c3b87a56ea,768
ex9_1_1.bch,easy,ex9_1_1.bch,cc338d29f48b27262aca162f875fdc26,556
ex9_1_10.bch,easy,ex9_1_10.bch,56edd8dfe6156de0ff88f80fb553001e,543
ex9_1_2.bch,easy,ex9_1_2.bch,c2d6651c72adf2f4ae1c553623153b4f,379
ex9_1_4.bch,easy,ex9_1_4.bch,c028b85133de4795fe29671063bb3c13,396
ex9_1_5.bch,easy,ex9_1_5.bch,34bb631dc6bbfe97491dee3891b4d17c,515
ex9_1_8.bch,easy,ex9_1_8.bch,4526beb00e44b4ae42be89e6a90b3f1e,543
ex9_2_1.bch,easy,ex9_2_1.bch,0197b8dca8788f618b83b5d896d1b462,422
ex9_2_2.bch,easy,ex9_2_2.bch,ead6ef0125ebf57a80286ea9d381da2d,379
ex9_2_3.bch,easy,ex9_2_3.bch,622c5e2d57a4b801417d15ae50fe2add,702
ex9_2_4.bch,easy,ex9_2_4.bch,32abcb3b2250435586f65994c1d4cb75,353
ex9_2_5.bch,easy,ex9_2_5.bch,5f41d39389c7151d0ac4c66c86fa78d4,369
ex9_2_6.bch,easy,ex9_2_6.bch,68fb7da5c1e7b76b3abdf038ac720bf8,606
ex9_2_7.bch,easy,ex9_2_7.bch,c16135940c40b78d03c2c72c817a17dd,441
ex9_2_8.bch,easy,ex9_2_8.bch,2f34ea3f421ad778e36cb4a9b8dde15b,257
exbaron.bch,easy,exbaron.bch,afd3fb9e4e5f6185e83b5ea122327d02,126
exinfinity2.bch,easy,exinfinity2.bch,84c50f4c5722c8be9b05ddc4b3c816a1,109
exinfinity3.bch,easy,exinfinity3.bch,fe6dd465fa2e7c87453f07bc56758ca0,110
exp40.bch,easy,exp40.bch,a59ce0b40e28aeea23f4a1f81a0b142b,99
f1.bch,easy,f1.bch,e97af4cdcf0afe1c96d341c58bb200d1,137
griewank.bch,easy,griewank.bch,026f2c8cb818162116109202fe8e1fd8,301
himmel11.bch,easy,himmel11.bch,d0c97090325a16c3354b63f8fda88ed5,554
house.bch,easy,house.bch,cc49bac245443b700418ce522ef2490a,408
hs071.bch,easy,hs071.bch,00bf19eccd78789de671858d661b6255,183
m4wd.bch,easy,m4wd.bch,740f83987cf78e6917c5238184128ce6,326
pressure-vessel.bch,easy,pressure-vessel.bch,0da4b3e8d9173716d2bec80814bf9943,316
process.bch,easy,process.bch,2e7ac49fbadf35a576ac372e7acab816,535
rastrigin.bch,easy,rastrigin.bch,fb5f547e7bed9ee625a1b4bff35b651a,316
rosenbrock.bch,easy,rosenbrock.bch,76ec1a0abacf76545fd066ec949c443e,138
rosenbrock10.bch,easy,rosenbrock10.bch,245007608f6c7dd379f65c08c3769978,616
schaffer.bch,easy,schaffer.bch,0f60f63d7b5ecbaf3bb469e570579bb2,181
