instance,set,rule,relax,status,solved,nodes,time,uplo,loup,timeout
3pk-borne.bch,coconutbenchmark-library2,largestfirst,affine,timeout,0,271288,600.0007650000002,-2221143.036823218,12042.901982205569,600.0
3pk-borne.bch,coconutbenchmark-library2,lsmear,affine,timeout,0,186602,600.0034110000003,-98477.00339661831,4815.14011242407,600.0
3pk-borne.bch,coconutbenchmark-library2,lsmear-box,affine,timeout,0,185658,600.0035980000002,-98607.8462474523,4815.14011242407,600.0
3pk-borne.bch,coconutbenchmark-library2,roundrobin,affine,timeout,0,250822,600.0023230000002,-1071279.650029461,29062.89673028221,600.0
3pk-borne.bch,coconutbenchmark-library2,smearmax,affine,timeout,0,192838,600.0013900000002,-97701.2543791695,2602.5509329398355,600.0
3pk-borne.bch,coconutbenchmark-library2,smearmaxrel,affine,timeout,0,191368,600.0063140000002,-97857.19780654626,4815.14011242407,600.0
3pk-borne.bch,coconutbenchmark-library2,smearsum,affine,timeout,0,192720,600.0001450000002,-97716.51018308348,4815.14011242407,600.0
3pk-borne.bch,coconutbenchmark-library2,smearsumrel,affine,timeout,0,192038,600.0064810000002,-97798.62985621962,4815.14011242407,600.0
3pk-borne.bch,coconutbenchmark-library2,largestfirst,both,timeout,0,113438,600.0062260000002,-2221143.036823218,9115.837173818396,600.0
3pk-borne.bch,coconutbenchmark-library2,lsmear,both,timeout,0,97374,600.0123500000003,-113169.26003462265,4859.016611612017,600.0
3pk-borne.bch,coconutbenchmark-library2,lsmear-box,both,timeout,0,97666,600.0065940000001,-113169.26003462265,4859.016611612017,600.0
3pk-borne.bch,coconutbenchmark-library2,roundrobin,both,timeout,0,129634,600.0033240000001,-1149870.7122596838,28933.88104958765,600.0
3pk-borne.bch,coconutbenchmark-library2,smearmax,both,timeout,0,99734,600.0135700000002,-112637.64270029003,4859.016611612017,600.0
3pk-borne.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,0,98882,600.0047500000003,-112854.04014786938,4859.016611612017,600.0
3pk-borne.bch,coconutbenchmark-library2,smearsum,both,timeout,0,99392,600.0072060000002,-112740.8648486565,4859.016611612017,600.0
3pk-borne.bch,coconutbenchmark-library2,smearsumrel,both,timeout,0,99670,600.0063710000003,-112639.99890590223,4859.016611612017,600.0
