instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
3pk-borne.bch,coconutbenchmark-library2,lsmear,both,timeout,97374,600.0123500000003,4859.016611612017,-113169.26003462265,600.0
3pk-borne.bch,coconutbenchmark-library2,lsmear-box,both,timeout,97666,600.0065940000001,4859.016611612017,-113169.26003462265,600.0
3pk-borne.bch,coconutbenchmark-library2,smearsumrel,both,timeout,99670,600.0063710000003,4859.016611612017,-112639.99890590223,600.0
3pk-borne.bch,coconutbenchmark-library2,smearsum,both,timeout,99392,600.0072060000002,4859.016611612017,-112740.8648486565,600.0
3pk-borne.bch,coconutbenchmark-library2,smearmax,both,timeout,99734,600.0135700000002,4859.016611612017,-112637.64270029003,600.0
3pk-borne.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,98882,600.0047500000003,4859.016611612017,-112854.04014786938,600.0
3pk-borne.bch,coconutbenchmark-library2,largestfirst,both,timeout,113438,600.0062260000002,9115.837173818396,-2221143.036823218,600.0
3pk-borne.bch,coconutbenchmark-library2,roundrobin,both,timeout,129634,600.0033240000001,28933.88104958765,-1149870.7122596838,600.0
3pk.bch,coconutbenchmark-library2,lsmear,both,unbounded,62,0.017657000000000034,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,lsmear-box,both,unbounded,62,0.017789,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,smearsumrel,both,unbounded,62,0.01766899999999999,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,smearsum,both,unbounded,62,0.017791,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,smearmax,both,unbounded,62,0.017857000000000012,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,smearmaxrel,both,unbounded,62,0.017631000000000008,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,largestfirst,both,unbounded,62,0.01618900000000001,5.270870301420892e+23,-inf,600.0
3pk.bch,coconutbenchmark-library2,roundrobin,both,unbounded,62,0.016168000000000016,5.270870301420892e+23,-inf,600.0
abel.bch,unsolved,lsmear,both,timeout,65958,600.0175780000002,122648.05985773428,-1074435.5041293753,600.0
abel.bch,unsolved,lsmear-box,both,timeout,47848,600.0003990000002,115488.52212478095,-1071993.7188248984,600.0
abel.bch,unsolved,smearsumrel,both,timeout,51792,600.0491880000002,59768.29785710474,-1508786.4024221245,600.0
abel.bch,unsolved,smearsum,both,timeout,82456,600.0114520000003,157881.2361518703,-779733.9589038884,600.0
abel.bch,unsolved,smearmax,both,timeout,81246,600.0097500000003,35464.30903949168,-779391.0143612078,600.0
abel.bch,unsolved,smearmaxrel,both,timeout,79934,600.0098960000003,57341.054993339974,-3727163.5303807626,600.0
abel.bch,unsolved,largestfirst,both,timeout,102408,600.0008350000003,425105.83263491443,-6305418.382878161,600.0
abel.bch,unsolved,roundrobin,both,timeout,48684,600.0218600000002,95381.95920573447,-1236442.9372373424,600.0
abelbis-1.bch,unsolved,lsmear,both,timeout,33818,600.0036180000003,255.5712420152994,-279.89378583379,600.0
abelbis-1.bch,unsolved,lsmear-box,both,timeout,27652,600.0390130000003,241.8549934469776,-208.45937297413298,600.0
abelbis-1.bch,unsolved,smearsumrel,both,timeout,73082,600.0059860000002,30798.131490564738,-894724.2440717295,600.0
abelbis-1.bch,unsolved,smearsum,both,timeout,28432,600.0179750000002,271.04765556776005,-449.6026278470607,600.0
