instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
3pk-borne.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,150080,600.0035390000003,4487.346893625451,-103683.3612218104,600.0
3pk.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,unbounded,62,0.012268999999999974,5.270870301420892e+23,-inf,600.0
abel.bch,unsolved,lsmear-guard,xtaylor,timeout,116862,600.0119080000002,232160.73958775087,-1075106.2062818292,600.0
abelbis-1.bch,unsolved,lsmear-guard,xtaylor,timeout,45240,600.0190320000002,273.3858266708776,-177.03439380676554,600.0
abelbis.bch,unsolved,lsmear-guard,xtaylor,timeout,121762,600.0058670000002,605.3866583936406,-1084393.359951703,600.0
abelter-1.bch,unsolved,lsmear-guard,xtaylor,timeout,110446,600.0012280000003,236.13523256237804,79.3117308513878,600.0
ackley_5.bch,easy,lsmear-guard,xtaylor,complete,26,0.005941000000000002,-8.284590364837641e-07,-8.284590578000461e-07,600.0
aircraftb.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,2020,0.5621800000000001,6.803925603086186e-08,0,600.0
alkyl.bch,medium,lsmear-guard,xtaylor,complete,54,0.12455700000000006,-1.7649670196605722,-1.7650549973490683,600.0
alkylbis.bch,medium,lsmear-guard,xtaylor,complete,48,0.11276500000000005,-1.7649615298007149,-1.7650600494037825,600.0
avgasa.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,1010,1.0340030000000002,-4.411143689078467,-4.415559248326793,600.0
avgasb.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,352,0.42881000000000014,-4.4820559571498535,-4.486542499649502,600.0
avion2.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,714,2.234245000000001,94770453.32432662,94675777.54677986,600.0
batch.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,24986,265.91745800000007,259328.51340657994,259069.44396261734,600.0
bearing.bch,medium,lsmear-guard,xtaylor,complete,7280,16.781522000000006,1.9510723201911224,1.9510659402527628,600.0
brownal.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,26218794,600.0000200000002,6.716418640425982,0,600.0
catena.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,174628,600.0038350000003,-5957.674464543857,-26767.40867046869,600.0
chakra-1.bch,unsolved,lsmear-guard,xtaylor,timeout,27124,600.0037190000002,inf,-207.83439305186803,600.0
chakra.bch,unsolved,lsmear-guard,xtaylor,timeout,26334,600.0351370000003,inf,-209.32795059435188,600.0
chance.bch,easy,lsmear-guard,xtaylor,complete,12,0.007191000000000002,29.901888379986367,29.87201636362275,600.0
chem-1.bch,hard,lsmear-guard,xtaylor,timeout,530210,600.0004740000002,-47.701595011432346,-50.92199531402097,600.0
chem.bch,hard,lsmear-guard,xtaylor,timeout,529804,600.001966,-47.701595011432346,-50.931143174415844,600.0
chembis.bch,hard,lsmear-guard,xtaylor,complete,483928,512.3832980000002,-47.70561535498625,-47.753368723709954,600.0
chenery-1.bch,unsolved,lsmear-guard,xtaylor,timeout,35578,600.0227310000001,-1244.3221226998764,-1392.2179735327811,600.0
chenery.bch,unsolved,lsmear-guard,xtaylor,timeout,52120,600.0053290000003,-1014.1803150615843,-1081.4138485815063,600.0
concon.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,1778450,600.0018080000002,inf,-11762734.190000001,600.0
cresc4.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,830182,600.0007800000002,167604.75451660156,-3.18550851035301e+21,600.0
dipigri.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,3078,2.479080000000001,680.904039876021,680.2238160599611,600.0
disc2.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,236,1.1944250000000003,1.5624999910193413,1.5609390519673743,600.0
discs.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,66412,600.0029250000001,inf,-1108333333.3333335,600.0
dixchlng.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,1958,3.7034750000000005,5.47293213027785e-08,-4.527067869722149e-08,600.0
dnieper.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,56112,600.0486610000002,inf,18737.06853687862,600.0
dualc1.bch,others,lsmear-guard,xtaylor,complete,994,6.631403000000001,6155.922420633618,6149.772647985633,600.0
dualc1__coconut.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,1028,1.5657200000000004,6155.564771310212,6149.415355954258,600.0
dualc2.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,286,0.3082060000000001,3552.057716121794,3548.5092069148795,600.0
dualc5.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,54958,42.71244400000001,427.2699476827894,426.84310457821124,600.0
dualc8.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,185508,170.43634800000004,18309.362433905902,18291.071362543364,600.0
eigencco.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,timeout,46962,600.0135700000002,2.575516914084612,0,600.0
eigmaxc.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,42,0.23874900000000004,0,0,600.0
eigminc.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,6,0.11383500000000002,-1,-1,600.0
ex14_1_1.bch,easy,lsmear-guard,xtaylor,complete,26,0.010384000000000003,1.0013678775067092e-09,-9.899863212249327e-08,600.0
ex14_1_2.bch,easy,lsmear-guard,xtaylor,complete,160,0.17129800000000003,1.4841033892780701e-09,-9.851589661072191e-08,600.0
ex14_1_3.bch,easy,lsmear-guard,xtaylor,complete,16,0.003917000000000002,2.693760889696528e-09,-2.033763425048184e-09,600.0
ex14_1_4.bch,easy,lsmear-guard,xtaylor,complete,16,0.007467000000000003,1.17935841648098e-09,-9.8820641583519e-08,600.0
ex14_1_5.bch,easy,lsmear-guard,xtaylor,complete,12,0.017686000000000007,6.029458488043815e-09,-9.397054151195617e-08,600.0
ex14_1_6.bch,others,lsmear-guard,xtaylor,complete,66,0.07330300000000003,5.7676110619964e-09,-9.423238893800358e-08,600.0
ex14_1_7.bch,medium,lsmear-guard,xtaylor,complete,28118,67.90663200000002,9.170524206680852e-08,-8.29475793319147e-09,600.0
ex14_1_8.bch,easy,lsmear-guard,xtaylor,complete,12,0.0048010000000000014,2.732541304339975e-09,-9.726745869566001e-08,600.0
ex14_1_9.bch,easy,lsmear-guard,xtaylor,complete,16,0.004293000000000002,1.0277716455675545e-09,-9.897222835443243e-08,600.0
ex14_2_1.bch,easy,lsmear-guard,xtaylor,complete,216,0.21296700000000005,1.0023406925643852e-08,0,600.0
ex14_2_2.bch,easy,lsmear-guard,xtaylor,complete,16,0.008296000000000003,9.390385840072311e-08,0,600.0
ex14_2_3.bch,medium,lsmear-guard,xtaylor,complete,486,0.8219750000000002,6.576449161632691e-08,0,600.0
ex14_2_4.bch,easy,lsmear-guard,xtaylor,complete,166,0.22936400000000007,2.0587354043755113e-09,0,600.0
ex14_2_5.bch,easy,lsmear-guard,xtaylor,complete,174,0.05722400000000001,2.10777670049179e-08,0,600.0
ex14_2_6.bch,easy,lsmear-guard,xtaylor,complete,172,0.21803300000000006,3.4796813014326133e-08,0,600.0
ex14_2_7.bch,medium,lsmear-guard,xtaylor,complete,11934,22.025865000000007,1.245265474070223e-09,0,600.0
ex14_2_8.bch,easy,lsmear-guard,xtaylor,complete,70,0.06010300000000002,1.0688266938174706e-09,0,600.0
ex14_2_9.bch,easy,lsmear-guard,xtaylor,complete,62,0.06371500000000002,1.0001488526256708e-09,0,600.0
ex2_1_1.bch,easy,lsmear-guard,xtaylor,complete,166,0.06106000000000002,-17,-17.017017017017015,600.0
ex2_1_10.bch,easy,lsmear-guard,xtaylor,complete,52,0.22352000000000008,49318.017960067955,49268.7492108571,600.0
ex2_1_2.bch,easy,lsmear-guard,xtaylor,complete,2,0.0001780000000000002,-212.99999999000002,-213.2132132032032,600.0
ex2_1_3.bch,easy,lsmear-guard,xtaylor,complete,122,0.10683700000000003,-14.999999997999998,-15.01501501301301,600.0
ex2_1_4.bch,easy,lsmear-guard,xtaylor,complete,0,2.0000000000002655e-06,-10.999999999499998,-11.011011010510506,600.0
ex2_1_5.bch,easy,lsmear-guard,xtaylor,complete,2,0.0037139999999999986,-268.0146315264109,-268.2829144408517,600.0
ex2_1_5bis.bch,easy,lsmear-guard,xtaylor,complete,2,0.004146,-268.0146315264109,-268.2829144408517,600.0
ex2_1_6.bch,easy,lsmear-guard,xtaylor,complete,640,0.6920410000000001,-39,-39.03903903903903,600.0
ex2_1_7.bch,blowup,lsmear-guard,xtaylor,complete,2460,6.615669000000001,-4150.410133654569,-4154.564698352921,600.0
ex2_1_7__coconut.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,2460,6.854347000000002,-4150.410133654569,-4154.564698352921,600.0
ex2_1_8.bch,medium,lsmear-guard,xtaylor,complete,1850,6.753515000000002,15638.999981676014,15623.376605070944,600.0
ex2_1_8__coconut.bch,coconutbenchmark-library2,lsmear-guard,xtaylor,complete,1614,5.600955000000002,15638.99998167602,15623.37660507095,600.0
ex2_1_9.bch,medium,lsmear-guard,xtaylor,complete,5010,4.648653000000002,-0.37500000675000006,-0.3753753821321321,600.0
ex2_1_9bis.bch,blowup,lsmear-guard,xtaylor,complete,74966,54.43956900000001,-0.37499999925,-0.37537537462462456,600.0
ex2_1_9fact.bch,medium,lsmear-guard,xtaylor,complete,5186,4.6053690000000005,-0.37500000675000006,-0.3753753821321321,600.0
ex3_1_1.bch,easy,lsmear-guard,xtaylor,complete,96,0.12693500000000005,7055.345392158304,7048.297095063242,600.0
ex3_1_2.bch,easy,lsmear-guard,xtaylor,complete,4,0.002152000000000001,-30662.193207387114,-30692.886093480593,600.0
ex3_1_3.bch,easy,lsmear-guard,xtaylor,complete,4,0.0013020000000000002,-309.9999998420001,-310.0070370196633,600.0
ex3_1_3bis.bch,easy,lsmear-guard,xtaylor,complete,4,0.0012699999999999999,-309.9999998420001,-310.0070370196633,600.0
ex3_1_4.bch,easy,lsmear-guard,xtaylor,complete,18,0.007775000000000002,-3.9999999995000004,-4.0040040035035025,600.0
ex4_1_5.bch,easy,lsmear-guard,xtaylor,complete,300,0.03828700000000001,5.4965177884834e-10,-9.945034822115163e-08,600.0
ex4_1_8.bch,easy,lsmear-guard,xtaylor,complete,2,0.0003690000000000004,-16.728499638388143,-16.74524488327141,600.0
ex4_1_9.bch,easy,lsmear-guard,xtaylor,complete,42,0.009012000000000001,-5.507914999335467,-5.5134284277632295,600.0
ex5_2_2_case1.bch,easy,lsmear-guard,xtaylor,complete,64,0.06640400000000002,-399.9253593175464,-400.0000005930982,600.0
ex5_2_2_case2.bch,easy,lsmear-guard,xtaylor,complete,34,0.04287000000000001,-599.6479755162782,-600.248223740018,600.0
ex5_2_2_case3.bch,medium,lsmear-guard,xtaylor,complete,24,0.02531400000000001,-750.0000003918101,-750.7507511429529,600.0
ex5_2_4.bch,easy,lsmear-guard,xtaylor,complete,50,0.05352000000000001,-450.00001888949987,-450.4504693588587,600.0
ex5_2_5.bch,unsolved,lsmear-guard,xtaylor,timeout,128726,600.0044650000002,-3325.0001105974984,-10904.374945156247,600.0
ex5_3_2.bch,medium,lsmear-guard,xtaylor,complete,54,0.3827540000000001,1.8641594575944034,1.8641594508499941,600.0
ex5_3_3.bch,unsolved,lsmear-guard,xtaylor,timeout,31870,600.0092090000003,inf,2.953938713426849,600.0
ex5_4_2.bch,easy,lsmear-guard,xtaylor,complete,34,0.032362,7517.7609734928665,7510.250722770097,600.0
ex5_4_2bis.bch,easy,lsmear-guard,xtaylor,complete,34,0.030914000000000007,7518.708788190234,7511.197590599635,600.0
ex5_4_3.bch,easy,lsmear-guard,xtaylor,complete,6,0.026151000000000008,4845.462003818675,4840.621382436239,600.0
ex5_4_4.bch,hard,lsmear-guard,xtaylor,complete,6774,54.752759000000005,10078.393168128276,10068.324843284992,600.0
ex6_1_1.bch,blowup,lsmear-guard,xtaylor,complete,8498,11.081672000000003,-0.020197727483761335,-0.02021794542919052,600.0
ex6_1_2.bch,easy,lsmear-guard,xtaylor,complete,30,0.01674700000000001,-0.03245514537407122,-0.03248763300707829,600.0
ex6_1_3.bch,hard,lsmear-guard,xtaylor,complete,20424,55.90138200000001,-0.35238281895369605,-0.3527355545082042,600.0
ex6_1_3bis.bch,medium,lsmear-guard,xtaylor,complete,12650,5.316248000000002,-0.35188074787314066,-0.3522329808539946,600.0
ex6_1_4.bch,medium,lsmear-guard,xtaylor,complete,176,0.1509540000000001,-0.2944796324464781,-0.2947744068533314,600.0
ex6_2_10.bch,hard,lsmear-guard,xtaylor,timeout,1139998,600.0001300000001,-3.051964379556915,-3.795070688953623,600.0
ex6_2_11.bch,medium,lsmear-guard,xtaylor,complete,68060,20.760768000000006,-2.672282848725782e-06,-2.7722828487257816e-06,600.0
ex6_2_12.bch,medium,lsmear-guard,xtaylor,complete,19566,6.043400000000002,0.2891979525527088,0.28890904350919966,600.0
ex6_2_13.bch,blowup,lsmear-guard,xtaylor,timeout,1353122,600.0001380000003,-0.21620947231175525,-0.3010371686946623,600.0
ex6_2_14.bch,medium,lsmear-guard,xtaylor,complete,7948,2.462829000000001,-0.6953573107375691,-0.6960533641016707,600.0
ex6_2_5.bch,unsolved,lsmear-guard,xtaylor,timeout,680096,600.0010940000004,-70.70288359810866,-7846.383296683929,600.0
ex6_2_6.bch,medium,lsmear-guard,xtaylor,complete,314906,123.57631000000003,-2.6025270134510947e-06,-2.702527013451094e-06,600.0
ex6_2_7.bch,unsolved,lsmear-guard,xtaylor,timeout,561466,600.0001550000002,-0.1587479438704511,-61.844687000250985,600.0
ex6_2_8.bch,medium,lsmear-guard,xtaylor,complete,100634,35.02946400000001,-0.027006263912822792,-0.027033297210032822,600.0
ex6_2_9.bch,medium,lsmear-guard,xtaylor,complete,58036,22.631810000000005,-0.03406602299505712,-0.03410012311817529,600.0
ex7_2_1.bch,easy,lsmear-guard,xtaylor,complete,22,0.03672000000000001,1228.337695597535,1227.1105850125227,600.0
ex7_2_10.bch,easy,lsmear-guard,xtaylor,complete,14,0.012194000000000003,0.1,0.09999999999999999,600.0
ex7_2_1bis.bch,easy,lsmear-guard,xtaylor,complete,22,0.031553000000000005,1227.261456973978,1226.035421552426,600.0
ex7_2_2.bch,easy,lsmear-guard,xtaylor,complete,46,0.047110000000000006,-0.38843328832077617,-0.38882211043120735,600.0
ex7_2_3.bch,easy,lsmear-guard,xtaylor,complete,15256,5.7308270000000014,7052.712443775117,7045.6667769981195,600.0
ex7_2_3bis.bch,easy,lsmear-guard,xtaylor,complete,308,0.3737210000000001,7051.79658859422,7044.751836757464,600.0
ex7_2_4.bch,medium,lsmear-guard,xtaylor,complete,2320,2.6806420000000006,3.918532952561436,3.914618334227209,600.0
ex7_2_5.bch,easy,lsmear-guard,xtaylor,complete,12,0.010118000000000004,10123.025796588767,10112.912883705063,600.0
ex7_2_6.bch,easy,lsmear-guard,xtaylor,complete,18,0.005346000000000001,-83.24758342790855,-83.3309143422508,600.0
ex7_2_7.bch,easy,lsmear-guard,xtaylor,complete,46,0.023754000000000004,-5.736667447728818,-5.742409857586404,600.0
ex7_2_8.bch,medium,lsmear-guard,xtaylor,complete,1576,1.7512210000000001,-6.081485065440696,-6.0875726380787745,600.0
