instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
3pk-borne.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,1532,10.000312000000003,20964.183909804597,-401438.3314108563,10
3pk-borne.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,1542,10.008278000000008,20964.183909804597,-392914.2243951686,10
3pk-borne.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,1564,10.005388000000004,20964.183909804597,-392914.2243951686,10
3pk-borne.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,1544,10.009118000000003,20964.183909804597,-392914.2243951686,10
3pk-borne.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,1566,10.005533000000002,20964.183909804597,-392914.2243951686,10
3pk-borne.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,1562,10.000762000000003,20964.183909804597,-392914.2243951686,10
3pk-borne.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,1952,10.001486000000002,27506.673494299408,-2221143.036823218,10
3pk-borne.bch,coconutbenchmark-library2,roundrobin,xtaylor,timeout,1870,10.002691000000004,48470.38514009036,-1233064.9106597574,10
3pk.bch,coconutbenchmark-library2,lsmear,xtaylor,unbounded,62,0.017764999999999975,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,lsmear-box,xtaylor,unbounded,62,0.017757999999999996,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,smearsumrel,xtaylor,unbounded,62,0.01805899999999999,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,smearsum,xtaylor,unbounded,62,0.018054000000000014,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,smearmax,xtaylor,unbounded,62,0.018127000000000004,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,unbounded,62,0.018011,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,largestfirst,xtaylor,unbounded,62,0.01691999999999999,5.270870301420892e+23,-inf,10
3pk.bch,coconutbenchmark-library2,roundrobin,xtaylor,unbounded,62,0.01630200000000004,5.270870301420892e+23,-inf,10
abel.bch,unsolved,lsmear,xtaylor,timeout,2038,10.011275000000005,1140603.4791027897,-4216947.631927881,10
abel.bch,unsolved,lsmear-box,xtaylor,timeout,1930,10.006505000000002,1287875.132599686,-4216947.631927881,10
abel.bch,unsolved,smearsumrel,xtaylor,timeout,1464,10.007319000000004,544711.9667713759,-38816881.214431524,10
abel.bch,unsolved,smearsum,xtaylor,timeout,2082,10.004993000000002,2496327.315173618,-4872403.560802707,10
abel.bch,unsolved,smearmax,xtaylor,timeout,2084,10.013615000000003,2496327.315173618,-4872403.560802707,10
abel.bch,unsolved,smearmaxrel,xtaylor,timeout,1700,10.002895000000002,745884.3361372539,-10462053.612351777,10
abel.bch,unsolved,largestfirst,xtaylor,timeout,2320,10.003538000000002,1810465.9338373912,-42023714.86683727,10
abel.bch,unsolved,roundrobin,xtaylor,timeout,1448,10.001519000000004,107440.39720631042,-14791345.602183538,10
abelbis-1.bch,unsolved,lsmear,xtaylor,timeout,1092,10.002392000000004,44224.36394751643,-140419.03076453728,10
abelbis-1.bch,unsolved,lsmear-box,xtaylor,timeout,1046,10.007705000000003,43830.73281177598,-140419.03076453728,10
abelbis-1.bch,unsolved,smearsumrel,xtaylor,timeout,1582,10.013377000000004,583875.2177683968,-2813559.163161691,10
abelbis-1.bch,unsolved,smearsum,xtaylor,timeout,1148,10.002332000000003,12703.99744778626,-1063285.3729435494,10
abelbis-1.bch,unsolved,smearmax,xtaylor,timeout,1166,10.011849000000003,12706.816957471827,-1063280.5695383346,10
abelbis-1.bch,unsolved,smearmaxrel,xtaylor,timeout,2086,10.001023000000002,513768.3941076388,-2841007.2195870616,10
abelbis-1.bch,unsolved,largestfirst,xtaylor,timeout,2862,10.002943000000002,1161698.6119168038,-2969474.9820935484,10
abelbis-1.bch,unsolved,roundrobin,xtaylor,timeout,1306,10.011072000000004,110038.38969962366,-2340597.792763725,10
abelbis.bch,unsolved,lsmear,xtaylor,timeout,2016,10.012796000000003,inf,-35876570934664492,10
abelbis.bch,unsolved,lsmear-box,xtaylor,timeout,2026,10.004025000000004,inf,-35876570934664492,10
abelbis.bch,unsolved,smearsumrel,xtaylor,timeout,2110,10.009036000000002,inf,-35876570934664492,10
abelbis.bch,unsolved,smearsum,xtaylor,timeout,1892,10.002515000000002,inf,-11238555971142134,10
abelbis.bch,unsolved,smearmax,xtaylor,timeout,1888,10.011028000000003,inf,-11238555971142134,10
abelbis.bch,unsolved,smearmaxrel,xtaylor,timeout,2616,10.002477000000003,inf,-34995187146356776,10
abelbis.bch,unsolved,largestfirst,xtaylor,timeout,2066,10.003478000000003,inf,-35858836291267720,10
abelbis.bch,unsolved,roundrobin,xtaylor,timeout,1490,10.005660000000004,344428029350362.8,-35439508405086328,10
abelter-1.bch,unsolved,lsmear,xtaylor,timeout,1550,10.008500000000003,263.4791878093135,29.717937503131022,10
abelter-1.bch,unsolved,lsmear-box,xtaylor,timeout,1538,10.005749000000003,282.9732900129955,22.38548530531523,10
abelter-1.bch,unsolved,smearsumrel,xtaylor,timeout,1670,10.006434000000006,269.25148350067167,12.982969491172454,10
abelter-1.bch,unsolved,smearsum,xtaylor,timeout,1674,10.000430000000003,263.682194119605,27.484463517983897,10
abelter-1.bch,unsolved,smearmax,xtaylor,timeout,1736,10.004481000000004,270.68604128077095,29.918975649346777,10
abelter-1.bch,unsolved,smearmaxrel,xtaylor,timeout,1884,10.005144000000003,304.49272875692725,3.4682073161038462,10
abelter-1.bch,unsolved,largestfirst,xtaylor,timeout,2640,10.001042000000002,304.6321443838857,0,10
abelter-1.bch,unsolved,roundrobin,xtaylor,timeout,1452,10.003520000000004,278.0423647638858,26.411032333231546,10
ackley_5.bch,easy,lsmear,xtaylor,complete,126,0.044378000000000015,-8.284590364837641e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,lsmear-box,xtaylor,complete,126,0.04389600000000001,-8.284590364837641e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,smearsumrel,xtaylor,complete,126,0.04358400000000001,-8.284590364837641e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,smearsum,xtaylor,complete,126,0.043361000000000004,-8.284590364837641e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,smearmax,xtaylor,complete,126,0.043527,-8.284590364837641e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,smearmaxrel,xtaylor,complete,126,0.043615000000000015,-8.284590364837641e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,largestfirst,xtaylor,complete,366,0.12709200000000004,-7.734256293190356e-07,-8.284590578000461e-07,10
ackley_5.bch,easy,roundrobin,xtaylor,complete,12,0.002764,-8.284590364837641e-07,-8.284590578000461e-07,10
aircraftb.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,4436,3.2049200000000004,7.837958004128884e-08,0,10
aircraftb.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,4436,3.166747000000001,7.837958004128884e-08,0,10
aircraftb.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,4436,3.023626000000001,7.837958004128884e-08,0,10
aircraftb.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,4436,3.011499000000001,7.837958004128884e-08,0,10
aircraftb.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,4436,2.985766000000001,7.837958004128884e-08,0,10
aircraftb.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,complete,4436,3.009738000000001,7.837958004128884e-08,0,10
aircraftb.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,20666,10.000026000000005,1.7945516388875313e-05,0,10
aircraftb.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,958,0.5332420000000001,4.571373389228182e-08,0,10
alkyl.bch,medium,lsmear,xtaylor,complete,54,0.2370700000000001,-1.7649670196605722,-1.7650549973490683,10
alkyl.bch,medium,lsmear-box,xtaylor,complete,54,0.23742500000000005,-1.7649670196605722,-1.7650549973490683,10
alkyl.bch,medium,smearsumrel,xtaylor,complete,156,0.4671010000000001,-1.7633110154071279,-1.7650760914986263,10
alkyl.bch,medium,smearsum,xtaylor,complete,210,0.6092250000000002,-1.764585957297406,-1.7663523096070128,10
alkyl.bch,medium,smearmax,xtaylor,complete,224,0.6454840000000002,-1.7634392587685639,-1.7652044632317956,10
alkyl.bch,medium,smearmaxrel,xtaylor,complete,318,0.9370770000000003,-1.7646125610801917,-1.7663789400202117,10
alkyl.bch,medium,largestfirst,xtaylor,complete,1656,3.6818110000000006,-1.764240947260867,-1.766006954215082,10
alkyl.bch,medium,roundrobin,xtaylor,complete,148,0.48079800000000017,-1.764500329337947,-1.7662665959338808,10
alkylbis.bch,medium,lsmear,xtaylor,complete,48,0.21566500000000002,-1.7649615298007149,-1.7650600494037825,10
alkylbis.bch,medium,lsmear-box,xtaylor,complete,48,0.21666200000000005,-1.7649615298007149,-1.7650600494037825,10
alkylbis.bch,medium,smearsumrel,xtaylor,complete,186,0.5843340000000001,-1.7648291061589676,-1.7665957018608283,10
alkylbis.bch,medium,smearsum,xtaylor,complete,278,0.8181540000000003,-1.7642322360633909,-1.7659982342976883,10
alkylbis.bch,medium,smearmax,xtaylor,complete,266,0.8133170000000001,-1.7635018229375081,-1.7652670900275356,10
alkylbis.bch,medium,smearmaxrel,xtaylor,complete,288,0.9152720000000002,-1.764847444238013,-1.7666140582963092,10
alkylbis.bch,medium,largestfirst,xtaylor,complete,1530,3.334333000000001,-1.7635059382026261,-1.765271209412038,10
alkylbis.bch,medium,roundrobin,xtaylor,complete,176,0.5461280000000002,-1.7648360955027762,-1.766602698200977,10
avgasa.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,1010,2.1357640000000004,-4.411143689078467,-4.415559248326793,10
avgasa.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,1010,2.1297140000000008,-4.411143689078467,-4.415559248326793,10
avgasa.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,1226,2.821198000000001,-4.41153536214765,-4.41595131346111,10
